Rasse;Land;GebJahrUnten;GebJahrOben;Code;Selektionspfad
AL;CHE;1900;2100;1;DC
AL;CHE;1900;2100;1;DB
AL;CHE;1900;2100;2;SC
AL;CHE;1900;2100;2;SB
AL;ATG;1900;2100;3;DC
AL;ATG;1900;2100;3;DB
AL;DNK;1900;2100;3;DC
AL;DNK;1900;2100;3;DB
AL;ITA;1900;2100;3;DC
AL;ITA;1900;2100;3;DB
AL;AUT;1900;2100;3;DC
AL;AUT;1900;2100;3;DB
AL;ATG;1900;2100;4;SC
AL;ATG;1900;2100;4;SB
AL;DNK;1900;2100;4;SC
AL;DNK;1900;2100;4;SB
AL;ITA;1900;2100;4;SC
AL;ITA;1900;2100;4;SB
AL;AUT;1900;2100;4;SC
AL;AUT;1900;2100;4;SB
AN;CHE;1900;2100;5;DC
AN;CHE;1900;2100;5;DB
AN;CHE;1900;2100;6;SC
AN;CHE;1900;2100;6;SB
AN;AUS;1900;2100;7;DC
AN;AUS;1900;2100;7;DB
AN;AUT;1900;2100;7;DC
AN;AUT;1900;2100;7;DB
AN;CAN;1900;2100;7;DC
AN;CAN;1900;2100;7;DB
AN;CZE;1900;2100;7;DC
AN;CZE;1900;2100;7;DB
AN;DEU;1900;2100;7;DC
AN;DEU;1900;2100;7;DB
AN;DNK;1900;2100;7;DC
AN;DNK;1900;2100;7;DB
AN;GBR;1900;2100;7;DC
AN;GBR;1900;2100;7;DB
AN;HUN;1900;2100;7;DC
AN;HUN;1900;2100;7;DB
AN;IRL;1900;2100;7;DC
AN;IRL;1900;2100;7;DB
AN;LUX;1900;2100;7;DC
AN;LUX;1900;2100;7;DB
AN;NOR;1900;2100;7;DC
AN;NOR;1900;2100;7;DB
AN;NZL;1900;2100;7;DC
AN;NZL;1900;2100;7;DB
AN;SWE;1900;2100;7;DC
AN;SWE;1900;2100;7;DB
AN;USA;1900;2100;7;DC
AN;USA;1900;2100;7;DB
AN;XXX;1900;2100;7;DC
AN;XXX;1900;2100;7;DB
AN;AUS;1900;2100;8;SC
AN;AUS;1900;2100;8;SB
AN;AUT;1900;2100;8;SC
AN;AUT;1900;2100;8;SB
AN;CAN;1900;2100;8;SC
AN;CAN;1900;2100;8;SB
AN;CZE;1900;2100;8;SC
AN;CZE;1900;2100;8;SB
AN;DEU;1900;2100;8;SC
AN;DEU;1900;2100;8;SB
AN;DNK;1900;2100;8;SC
AN;DNK;1900;2100;8;SB
AN;GBR;1900;2100;8;SC
AN;GBR;1900;2100;8;SB
AN;HUN;1900;2100;8;SC
AN;HUN;1900;2100;8;SB
AN;IRL;1900;2100;8;SC
AN;IRL;1900;2100;8;SB
AN;LUX;1900;2100;8;SC
AN;LUX;1900;2100;8;SB
AN;NOR;1900;2100;8;SC
AN;NOR;1900;2100;8;SB
AN;NZL;1900;2100;8;SC
AN;NZL;1900;2100;8;SB
AN;SWE;1900;2100;8;SC
AN;SWE;1900;2100;8;SB
AN;USA;1900;2100;8;SC
AN;USA;1900;2100;8;SB
AN;XXX;1900;2100;8;SC
AN;XXX;1900;2100;8;SB
BV;AUT;1900;1979;9;DC
BV;AUT;1900;1976;9;DB
BV;CAN;1900;1979;9;DC
BV;CAN;1900;1976;9;DB
BV;DEU;1900;1979;9;DC
BV;DEU;1900;1976;9;DB
BV;DNK;1900;1979;9;DC
BV;DNK;1900;1976;9;DB
BV;FRA;1900;1979;9;DC
BV;FRA;1900;1976;9;DB
BV;ITA;1900;1979;9;DC
BV;ITA;1900;1976;9;DB
BV;USA;1900;1979;9;DC
BV;USA;1900;1976;9;DB
BV;CHE;1900;1979;9;DC
BV;CHE;1900;1976;9;DB
BV;AUT;1900;1981;10;SC
BV;AUT;1900;1978;10;SB
BV;CAN;1900;1981;10;SC
BV;CAN;1900;1978;10;SB
BV;DEU;1900;1981;10;SC
BV;DEU;1900;1978;10;SB
BV;DNK;1900;1981;10;SC
BV;DNK;1900;1978;10;SB
BV;FRA;1900;1981;10;SC
BV;FRA;1900;1978;10;SB
BV;ITA;1900;1981;10;SC
BV;ITA;1900;1978;10;SB
BV;USA;1900;1981;10;SC
BV;USA;1900;1978;10;SB
BV;CHE;1900;1981;10;SC
BV;CHE;1900;1978;10;SB
BV;AUT;1980;1984;11;DC
BV;AUT;1977;1981;11;DB
BV;CAN;1980;1984;11;DC
BV;CAN;1977;1981;11;DB
BV;DEU;1980;1984;11;DC
BV;DEU;1977;1981;11;DB
BV;DNK;1980;1984;11;DC
BV;DNK;1977;1981;11;DB
BV;FRA;1980;1984;11;DC
BV;FRA;1977;1981;11;DB
BV;ITA;1980;1984;11;DC
BV;ITA;1977;1981;11;DB
BV;USA;1980;1984;11;DC
BV;USA;1977;1981;11;DB
BV;CHE;1980;1984;11;DC
BV;CHE;1977;1981;11;DB
BV;AUT;1982;1986;12;SC
BV;AUT;1979;1983;12;SB
BV;CAN;1982;1986;12;SC
BV;CAN;1979;1983;12;SB
BV;DEU;1982;1986;12;SC
BV;DEU;1979;1983;12;SB
BV;DNK;1982;1986;12;SC
BV;DNK;1979;1983;12;SB
BV;FRA;1982;1986;12;SC
BV;FRA;1979;1983;12;SB
BV;ITA;1982;1986;12;SC
BV;ITA;1979;1983;12;SB
BV;USA;1982;1986;12;SC
BV;USA;1979;1983;12;SB
BV;CHE;1982;1986;12;SC
BV;CHE;1979;1983;12;SB
BV;AUT;1985;1989;13;DC
BV;AUT;1982;1986;13;DB
BV;CAN;1985;1989;13;DC
BV;CAN;1982;1986;13;DB
BV;DEU;1985;1989;13;DC
BV;DEU;1982;1986;13;DB
BV;DNK;1985;1989;13;DC
BV;DNK;1982;1986;13;DB
BV;FRA;1985;1989;13;DC
BV;FRA;1982;1986;13;DB
BV;ITA;1985;1989;13;DC
BV;ITA;1982;1986;13;DB
BV;USA;1985;1989;13;DC
BV;USA;1982;1986;13;DB
BV;CHE;1985;1989;13;DC
BV;CHE;1982;1986;13;DB
BV;AUT;1987;1991;14;SC
BV;AUT;1984;1988;14;SB
BV;CAN;1987;1991;14;SC
BV;CAN;1984;1988;14;SB
BV;DEU;1987;1991;14;SC
BV;DEU;1984;1988;14;SB
BV;DNK;1987;1991;14;SC
BV;DNK;1984;1988;14;SB
BV;FRA;1987;1991;14;SC
BV;FRA;1984;1988;14;SB
BV;ITA;1987;1991;14;SC
BV;ITA;1984;1988;14;SB
BV;USA;1987;1991;14;SC
BV;USA;1984;1988;14;SB
BV;CHE;1987;1991;14;SC
BV;CHE;1984;1988;14;SB
BV;AUT;1990;1994;15;DC
BV;AUT;1987;1991;15;DB
BV;CAN;1990;1994;15;DC
BV;CAN;1987;1991;15;DB
BV;DEU;1990;1994;15;DC
BV;DEU;1987;1991;15;DB
BV;DNK;1990;1994;15;DC
BV;DNK;1987;1991;15;DB
BV;FRA;1990;1994;15;DC
BV;FRA;1987;1991;15;DB
BV;ITA;1990;1994;15;DC
BV;ITA;1987;1991;15;DB
BV;USA;1990;1994;15;DC
BV;USA;1987;1991;15;DB
BV;CHE;1990;1994;15;DC
BV;CHE;1987;1991;15;DB
BV;AUT;1992;1996;16;SC
BV;AUT;1989;1993;16;SB
BV;CAN;1992;1996;16;SC
BV;CAN;1989;1993;16;SB
BV;DEU;1992;1996;16;SC
BV;DEU;1989;1993;16;SB
BV;DNK;1992;1996;16;SC
BV;DNK;1989;1993;16;SB
BV;FRA;1992;1996;16;SC
BV;FRA;1989;1993;16;SB
BV;ITA;1992;1996;16;SC
BV;ITA;1989;1993;16;SB
BV;USA;1992;1996;16;SC
BV;USA;1989;1993;16;SB
BV;CHE;1992;1996;16;SC
BV;CHE;1989;1993;16;SB
BV;AUT;1995;1999;17;DC
BV;AUT;1992;1996;17;DB
BV;CAN;1995;1999;17;DC
BV;CAN;1992;1996;17;DB
BV;DEU;1995;1999;17;DC
BV;DEU;1992;1996;17;DB
BV;DNK;1995;1999;17;DC
BV;DNK;1992;1996;17;DB
BV;FRA;1995;1999;17;DC
BV;FRA;1992;1996;17;DB
BV;ITA;1995;1999;17;DC
BV;ITA;1992;1996;17;DB
BV;USA;1995;1999;17;DC
BV;USA;1992;1996;17;DB
BV;CHE;1995;1999;17;DC
BV;CHE;1992;1996;17;DB
BV;AUT;1997;2001;18;SC
BV;AUT;1994;1998;18;SB
BV;CAN;1997;2001;18;SC
BV;CAN;1994;1998;18;SB
BV;DEU;1997;2001;18;SC
BV;DEU;1994;1998;18;SB
BV;DNK;1997;2001;18;SC
BV;DNK;1994;1998;18;SB
BV;FRA;1997;2001;18;SC
BV;FRA;1994;1998;18;SB
BV;ITA;1997;2001;18;SC
BV;ITA;1994;1998;18;SB
BV;USA;1997;2001;18;SC
BV;USA;1994;1998;18;SB
BV;CHE;1997;2001;18;SC
BV;CHE;1994;1998;18;SB
BV;AUT;2000;2004;19;DC
BV;AUT;1997;2001;19;DB
BV;CAN;2000;2004;19;DC
BV;CAN;1997;2001;19;DB
BV;DEU;2000;2004;19;DC
BV;DEU;1997;2001;19;DB
BV;DNK;2000;2004;19;DC
BV;DNK;1997;2001;19;DB
BV;FRA;2000;2004;19;DC
BV;FRA;1997;2001;19;DB
BV;ITA;2000;2004;19;DC
BV;ITA;1997;2001;19;DB
BV;USA;2000;2004;19;DC
BV;USA;1997;2001;19;DB
BV;CHE;2000;2004;19;DC
BV;CHE;1997;2001;19;DB
BV;AUT;2002;2006;20;SC
BV;AUT;1999;2003;20;SB
BV;CAN;2002;2006;20;SC
BV;CAN;1999;2003;20;SB
BV;DEU;2002;2006;20;SC
BV;DEU;1999;2003;20;SB
BV;DNK;2002;2006;20;SC
BV;DNK;1999;2003;20;SB
BV;FRA;2002;2006;20;SC
BV;FRA;1999;2003;20;SB
BV;ITA;2002;2006;20;SC
BV;ITA;1999;2003;20;SB
BV;USA;2002;2006;20;SC
BV;USA;1999;2003;20;SB
BV;CHE;2002;2006;20;SC
BV;CHE;1999;2003;20;SB
BV;AUT;2005;2009;21;DC
BV;AUT;2002;2006;21;DB
BV;CAN;2005;2009;21;DC
BV;CAN;2002;2006;21;DB
BV;DEU;2005;2009;21;DC
BV;DEU;2002;2006;21;DB
BV;DNK;2005;2009;21;DC
BV;DNK;2002;2006;21;DB
BV;FRA;2005;2009;21;DC
BV;FRA;2002;2006;21;DB
BV;ITA;2005;2009;21;DC
BV;ITA;2002;2006;21;DB
BV;USA;2005;2009;21;DC
BV;USA;2002;2006;21;DB
BV;CHE;2005;2009;21;DC
BV;CHE;2002;2006;21;DB
BV;AUT;2007;2011;22;SC
BV;AUT;2004;2008;22;SB
BV;CAN;2007;2011;22;SC
BV;CAN;2004;2008;22;SB
BV;DEU;2007;2011;22;SC
BV;DEU;2004;2008;22;SB
BV;DNK;2007;2011;22;SC
BV;DNK;2004;2008;22;SB
BV;FRA;2007;2011;22;SC
BV;FRA;2004;2008;22;SB
BV;ITA;2007;2011;22;SC
BV;ITA;2004;2008;22;SB
BV;USA;2007;2011;22;SC
BV;USA;2004;2008;22;SB
BV;CHE;2007;2011;22;SC
BV;CHE;2004;2008;22;SB
BV;AUT;2010;2014;23;DC
BV;AUT;2007;2011;23;DB
BV;CAN;2010;2014;23;DC
BV;CAN;2007;2011;23;DB
BV;DEU;2010;2014;23;DC
BV;DEU;2007;2011;23;DB
BV;DNK;2010;2014;23;DC
BV;DNK;2007;2011;23;DB
BV;FRA;2010;2014;23;DC
BV;FRA;2007;2011;23;DB
BV;ITA;2010;2014;23;DC
BV;ITA;2007;2011;23;DB
BV;USA;2010;2014;23;DC
BV;USA;2007;2011;23;DB
BV;CHE;2010;2014;23;DC
BV;CHE;2007;2011;23;DB
BV;AUT;2012;2016;24;SC
BV;AUT;2009;2013;24;SB
BV;CAN;2012;2016;24;SC
BV;CAN;2009;2013;24;SB
BV;DEU;2012;2016;24;SC
BV;DEU;2009;2013;24;SB
BV;DNK;2012;2016;24;SC
BV;DNK;2009;2013;24;SB
BV;FRA;2012;2016;24;SC
BV;FRA;2009;2013;24;SB
BV;ITA;2012;2016;24;SC
BV;ITA;2009;2013;24;SB
BV;USA;2012;2016;24;SC
BV;USA;2009;2013;24;SB
BV;CHE;2012;2016;24;SC
BV;CHE;2009;2013;24;SB
BV;AUT;2015;2100;25;DC
BV;AUT;2012;2100;25;DB
BV;CAN;2015;2100;25;DC
BV;CAN;2012;2100;25;DB
BV;DEU;2015;2100;25;DC
BV;DEU;2012;2100;25;DB
BV;DNK;2015;2100;25;DC
BV;DNK;2012;2100;25;DB
BV;FRA;2015;2100;25;DC
BV;FRA;2012;2100;25;DB
BV;ITA;2015;2100;25;DC
BV;ITA;2012;2100;25;DB
BV;USA;2015;2100;25;DC
BV;USA;2012;2100;25;DB
BV;CHE;2015;2100;25;DC
BV;CHE;2012;2100;25;DB
BV;AUT;2017;2100;26;SC
BV;AUT;2014;2100;26;SB
BV;CAN;2017;2100;26;SC
BV;CAN;2014;2100;26;SB
BV;DEU;2017;2100;26;SC
BV;DEU;2014;2100;26;SB
BV;DNK;2017;2100;26;SC
BV;DNK;2014;2100;26;SB
BV;FRA;2017;2100;26;SC
BV;FRA;2014;2100;26;SB
BV;ITA;2017;2100;26;SC
BV;ITA;2014;2100;26;SB
BV;USA;2017;2100;26;SC
BV;USA;2014;2100;26;SB
BV;CHE;2017;2100;26;SC
BV;CHE;2014;2100;26;SB
HO;840;1900;1984;27;DC
HO;840;1900;1981;27;DB
HO;AUS;1900;1984;27;DC
HO;AUS;1900;1981;27;DB
HO;AUT;1900;1984;27;DC
HO;AUT;1900;1981;27;DB
HO;BEL;1900;1984;27;DC
HO;BEL;1900;1981;27;DB
HO;CAN;1900;1984;27;DC
HO;CAN;1900;1981;27;DB
HO;DEU;1900;1984;27;DC
HO;DEU;1900;1981;27;DB
HO;DNK;1900;1984;27;DC
HO;DNK;1900;1981;27;DB
HO;FRA;1900;1984;27;DC
HO;FRA;1900;1981;27;DB
HO;GBR;1900;1984;27;DC
HO;GBR;1900;1981;27;DB
HO;IRL;1900;1984;27;DC
HO;IRL;1900;1981;27;DB
HO;ITA;1900;1984;27;DC
HO;ITA;1900;1981;27;DB
HO;LUX;1900;1984;27;DC
HO;LUX;1900;1981;27;DB
HO;NLD;1900;1984;27;DC
HO;NLD;1900;1981;27;DB
HO;NZL;1900;1984;27;DC
HO;NZL;1900;1981;27;DB
HO;SWE;1900;1984;27;DC
HO;SWE;1900;1981;27;DB
HO;UKR;1900;1984;27;DC
HO;UKR;1900;1981;27;DB
HO;USA;1900;1984;27;DC
HO;USA;1900;1981;27;DB
HO;CHE;1900;1984;27;DC
HO;CHE;1900;1981;27;DB
HO;840;1900;1986;28;SC
HO;840;1900;1983;28;SB
HO;AUS;1900;1986;28;SC
HO;AUS;1900;1983;28;SB
HO;AUT;1900;1986;28;SC
HO;AUT;1900;1983;28;SB
HO;BEL;1900;1986;28;SC
HO;BEL;1900;1983;28;SB
HO;CAN;1900;1986;28;SC
HO;CAN;1900;1983;28;SB
HO;DEU;1900;1986;28;SC
HO;DEU;1900;1983;28;SB
HO;DNK;1900;1986;28;SC
HO;DNK;1900;1983;28;SB
HO;FRA;1900;1986;28;SC
HO;FRA;1900;1983;28;SB
HO;GBR;1900;1986;28;SC
HO;GBR;1900;1983;28;SB
HO;IRL;1900;1986;28;SC
HO;IRL;1900;1983;28;SB
HO;ITA;1900;1986;28;SC
HO;ITA;1900;1983;28;SB
HO;LUX;1900;1986;28;SC
HO;LUX;1900;1983;28;SB
HO;NLD;1900;1986;28;SC
HO;NLD;1900;1983;28;SB
HO;NZL;1900;1986;28;SC
HO;NZL;1900;1983;28;SB
HO;SWE;1900;1986;28;SC
HO;SWE;1900;1983;28;SB
HO;UKR;1900;1986;28;SC
HO;UKR;1900;1983;28;SB
HO;USA;1900;1986;28;SC
HO;USA;1900;1983;28;SB
HO;CHE;1900;1986;28;SC
HO;CHE;1900;1983;28;SB
HO;840;1985;1991;29;DC
HO;840;1982;1988;29;DB
HO;AUS;1985;1991;29;DC
HO;AUS;1982;1988;29;DB
HO;AUT;1985;1991;29;DC
HO;AUT;1982;1988;29;DB
HO;BEL;1985;1991;29;DC
HO;BEL;1982;1988;29;DB
HO;CAN;1985;1991;29;DC
HO;CAN;1982;1988;29;DB
HO;DEU;1985;1991;29;DC
HO;DEU;1982;1988;29;DB
HO;DNK;1985;1991;29;DC
HO;DNK;1982;1988;29;DB
HO;FRA;1985;1991;29;DC
HO;FRA;1982;1988;29;DB
HO;GBR;1985;1991;29;DC
HO;GBR;1982;1988;29;DB
HO;IRL;1985;1991;29;DC
HO;IRL;1982;1988;29;DB
HO;ITA;1985;1991;29;DC
HO;ITA;1982;1988;29;DB
HO;LUX;1985;1991;29;DC
HO;LUX;1982;1988;29;DB
HO;NLD;1985;1991;29;DC
HO;NLD;1982;1988;29;DB
HO;NZL;1985;1991;29;DC
HO;NZL;1982;1988;29;DB
HO;SWE;1985;1991;29;DC
HO;SWE;1982;1988;29;DB
HO;UKR;1985;1991;29;DC
HO;UKR;1982;1988;29;DB
HO;USA;1985;1991;29;DC
HO;USA;1982;1988;29;DB
HO;CHE;1985;1991;29;DC
HO;CHE;1982;1988;29;DB
HO;840;1987;1993;30;SC
HO;840;1984;1990;30;SB
HO;AUS;1987;1993;30;SC
HO;AUS;1984;1990;30;SB
HO;AUT;1987;1993;30;SC
HO;AUT;1984;1990;30;SB
HO;BEL;1987;1993;30;SC
HO;BEL;1984;1990;30;SB
HO;CAN;1987;1993;30;SC
HO;CAN;1984;1990;30;SB
HO;DEU;1987;1993;30;SC
HO;DEU;1984;1990;30;SB
HO;DNK;1987;1993;30;SC
HO;DNK;1984;1990;30;SB
HO;FRA;1987;1993;30;SC
HO;FRA;1984;1990;30;SB
HO;GBR;1987;1993;30;SC
HO;GBR;1984;1990;30;SB
HO;IRL;1987;1993;30;SC
HO;IRL;1984;1990;30;SB
HO;ITA;1987;1993;30;SC
HO;ITA;1984;1990;30;SB
HO;LUX;1987;1993;30;SC
HO;LUX;1984;1990;30;SB
HO;NLD;1987;1993;30;SC
HO;NLD;1984;1990;30;SB
HO;NZL;1987;1993;30;SC
HO;NZL;1984;1990;30;SB
HO;SWE;1987;1993;30;SC
HO;SWE;1984;1990;30;SB
HO;UKR;1987;1993;30;SC
HO;UKR;1984;1990;30;SB
HO;USA;1987;1993;30;SC
HO;USA;1984;1990;30;SB
HO;CHE;1987;1993;30;SC
HO;CHE;1984;1990;30;SB
HO;840;1992;1996;31;DC
HO;840;1989;1993;31;DB
HO;AUS;1992;1996;31;DC
HO;AUS;1989;1993;31;DB
HO;AUT;1992;1996;31;DC
HO;AUT;1989;1993;31;DB
HO;BEL;1992;1996;31;DC
HO;BEL;1989;1993;31;DB
HO;CAN;1992;1996;31;DC
HO;CAN;1989;1993;31;DB
HO;DEU;1992;1996;31;DC
HO;DEU;1989;1993;31;DB
HO;DNK;1992;1996;31;DC
HO;DNK;1989;1993;31;DB
HO;FRA;1992;1996;31;DC
HO;FRA;1989;1993;31;DB
HO;GBR;1992;1996;31;DC
HO;GBR;1989;1993;31;DB
HO;IRL;1992;1996;31;DC
HO;IRL;1989;1993;31;DB
HO;ITA;1992;1996;31;DC
HO;ITA;1989;1993;31;DB
HO;LUX;1992;1996;31;DC
HO;LUX;1989;1993;31;DB
HO;NLD;1992;1996;31;DC
HO;NLD;1989;1993;31;DB
HO;NZL;1992;1996;31;DC
HO;NZL;1989;1993;31;DB
