Rasse;GebJahrUnten;GebJahrOben;Code;Selektionspfad
AL;1900;1998;1;DC
AL;1900;1995;1;DB
AL;1900;2000;2;SC
AL;1900;1997;2;SB
AL;1999;2008;3;DC
AL;1996;2005;3;DB
AL;2001;2010;4;SC
AL;1998;2007;4;SB
AL;2009;2013;5;DC
AL;2006;2010;5;DB
AL;2011;2015;6;SC
AL;2008;2012;6;SB
AL;2014;2100;7;DC
AL;2011;2100;7;DB
AL;2016;2100;8;SC
AL;2013;2100;8;SB
AN;1900;2003;9;DC
AN;1900;2000;9;DB
AN;1900;2005;10;SC
AN;1900;2002;10;SB
AN;2004;2013;11;DC
AN;2001;2010;11;DB
AN;2006;2015;12;SC
AN;2003;2012;12;SB
AN;2014;2100;13;DC
AN;2011;2100;13;DB
AN;2016;2100;14;SC
AN;2013;2100;14;SB
BV;1900;1979;15;DC
BV;1900;1976;15;DB
BV;1900;1981;16;SC
BV;1900;1978;16;SB
BV;1980;1984;17;DC
BV;1977;1981;17;DB
BV;1982;1986;18;SC
BV;1979;1983;18;SB
BV;1985;1989;19;DC
BV;1982;1986;19;DB
BV;1987;1991;20;SC
BV;1984;1988;20;SB
BV;1990;1994;21;DC
BV;1987;1991;21;DB
BV;1992;1996;22;SC
BV;1989;1993;22;SB
BV;1995;1999;23;DC
BV;1992;1996;23;DB
BV;1997;2001;24;SC
BV;1994;1998;24;SB
BV;2000;2004;25;DC
BV;1997;2001;25;DB
BV;2002;2006;26;SC
BV;1999;2003;26;SB
BV;2005;2009;27;DC
BV;2002;2006;27;DB
BV;2007;2011;28;SC
BV;2004;2008;28;SB
BV;2010;2014;29;DC
BV;2007;2011;29;DB
BV;2012;2016;30;SC
BV;2009;2013;30;SB
BV;2015;2019;31;DC
BV;2012;2016;31;DB
BV;2017;2021;32;SC
BV;2014;2018;32;SB
BV;2020;2100;33;DC
BV;2017;2100;33;DB
BV;2022;2100;34;SC
BV;2019;2100;34;SB
HO;1900;1984;35;DC
HO;1900;1981;35;DB
HO;1900;1986;36;SC
HO;1900;1983;36;SB
HO;1985;1991;37;DC
HO;1982;1988;37;DB
HO;1987;1993;38;SC
HO;1984;1990;38;SB
HO;1992;1996;39;DC
HO;1989;1993;39;DB
HO;1994;1998;40;SC
HO;1991;1995;40;SB
HO;1997;2001;41;DC
HO;1994;1998;41;DB
HO;1999;2003;42;SC
HO;1996;2000;42;SB
HO;2002;2006;43;DC
HO;1999;2003;43;DB
HO;2004;2008;44;SC
HO;2001;2005;44;SB
HO;2007;2011;45;DC
HO;2004;2008;45;DB
HO;2009;2013;46;SC
HO;2006;2010;46;SB
HO;2012;2016;47;DC
HO;2009;2013;47;DB
HO;2014;2018;48;SC
HO;2011;2015;48;SB
HO;2017;2021;49;DC
HO;2014;2018;49;DB
HO;2019;2023;50;SC
HO;2016;2020;50;SB
HO;2022;2100;51;DC
HO;2019;2100;51;DB
